,Name,Mood
82,Home,3.32
160,The University of Texas at Austin,3.08
124,Radius at the Domain,3.70
56,ECJ,2.55
6,2428 Bigleaf Ct,3.25
3,2217 Stanmore Ln,3.82
84,Hotel Mulberry,3.10
100,Mission Possible Austin,3.14
118,Platform Apartments,3.83
62,Financial District,3.00
74,Gregory Gymnasium,4.33
78,Hancock Center,3.83
117,Plano,3.33
11,7-Eleven,3.17
19,Austin High School,3.80
143,Sun Lok Kee BBQ,4.20
99,McDonald's,3.80
45,Chinatown,3.25
87,Ketner Group PR + Marketing,4.25
47,Chipotle Mexican Grill,4.00
27,Benold's Jewelers,3.00
139,Starbucks,3.33
111,Olympic Lodge,4.33
20,Austin-Bergstrom International Airport,3.67
141,Student Activity Center,3.33
109,Northcross Mall,4.00
116,Pike Place Market,5.00
76,H-E-B Grocery,4.50
77,Hampton Inn Ft. Lauderdale Airport North Cruise Port,4.00
166,University of Texas at Austin,3.67
147,Taco Joint,4.00
121,Port Angeles,4.33
51,Costco Wholesale,3.00
94,Madam Mam's,4.00
43,Chick-fil-A,3.50
123,Port Everglades Terminal 29,3.00
33,Cabo Bob's,4.50
102,Mozart's Coffee Roasters,5.00
146,TK Hair Salon - Extensions & Haircuts Plano,3.00
149,Target,4.00
79,Harbordale,5.00
54,DFW International Airport,4.00
88,LaGuardia Airport,4.00
68,Fricano's Deli & Catering,4.00
154,Texas Federation of Women's Clubs,3.00
46,Chinatown Center,3.50
119,Playa Uvas,5.00
17,Aura Cedar Apartments,5.00
57,Edge Eleven,4.00
127,Richardson,3.50
18,Austin,3.00
10,3500 Duval St,3.50
52,Cozumel,4.50
113,Pei Wei,4.00
105,Next Door Gastropub,4.00
36,Caffé Medici,4.00
174,Walton's Fancy & Staple,4.00
159,The Shops at Arbor Walk,4.00
50,Coconuts,5.00
28,Best Buy,2.00
86,Juan in a Million,4.00
22,Balcones Woods,5.00
177,Whole Foods Market Global Support Offices,4.00
132,Shiawase,5.00
39,Center of the Hills,4.00
175,West Campus,4.00
96,Maple Leaf Diner,5.00
26,Beach Bunnies Cafe,4.00
101,Moody,3.00
133,Sing Kee,5.00
69,Garment District,2.00
112,Olympic National Park,5.00
180,Zenna,4.00
64,Fish Shack,4.00
61,FAC,3.00
40,Central Beach,5.00
91,Legacy Hall,5.00
35,Caffe Medici,5.00
