,Address,BeginDate,BeginTime,Category,Distance,Duration,EndDate,EndTime,IndexTime,Name,WeekDay
0,Washington,4/1/2018,1:45:30,,0,11h 12min 11sec,4/1/2018,12:57:41,4/1/2018 1:45,Port Angeles,6
1,,4/1/2018,1:34:33,Driving,5296,0h 10min 57sec,4/1/2018,1:45:30,4/1/2018 1:34,Driving,6
2,"113 W 1st St, Port Angeles, WA 98362",4/1/2018,0:14:07,Gastropub,0,1h 20min 25sec,4/1/2018,1:34:33,4/1/2018 0:14,Next Door Gastropub,6
3,,3/31/2018,22:40:56,Driving,105107,1h 33min 11sec,4/1/2018,0:14:07,3/31/2018 22:40,Driving,5
4,"Mora Rd, Forks, WA 98331",3/31/2018,19:48:48,Public Beach,0,2h 52min 8sec,3/31/2018,22:40:56,3/31/2018 19:48,Rialto Beach,5
5,,3/31/2018,18:01:56,Driving,93375,1h 46min 52sec,3/31/2018,19:48:48,3/31/2018 18:01,Driving,5
6,"3002 Mt Angeles Rd, Port Angeles, WA 98362",3/31/2018,17:34:28,National Park,0,0h 27min 28sec,3/31/2018,18:01:56,3/31/2018 17:34,Olympic National Park,5
7,,3/31/2018,14:10:38,Driving,124916,3h 23min 49sec,3/31/2018,17:34:28,3/31/2018 14:10,Driving,5
8,Washington,3/31/2018,13:36:06,,0,0h 34min 32sec,3/31/2018,14:10:38,3/31/2018 13:36,"Port Angeles, WA",5
9,,3/31/2018,12:55:41,Driving,33257,0h 40min 25sec,3/31/2018,13:36:06,3/31/2018 12:55,Driving,5
10,"140 S Del Guzzi Dr, Port Angeles, WA 98362",3/31/2018,12:39:52,Hotel,0,0h 15min 49sec,3/31/2018,12:55:41,3/31/2018 12:39,Olympic Lodge,5
11,,3/31/2018,12:34:44,Driving,3712,0h 5min 7sec,3/31/2018,12:39:52,3/31/2018 12:34,Driving,5
12,Washington,3/31/2018,12:21:47,,0,0h 12min 57sec,3/31/2018,12:34:44,3/31/2018 12:21,Port Angeles,5
13,,3/31/2018,12:14:56,Driving,4281,0h 6min 51sec,3/31/2018,12:21:47,3/31/2018 12:14,Driving,5
14,"140 S Del Guzzi Dr, Port Angeles, WA 98362",3/30/2018,23:39:37,Hotel,0,12h 35min 18sec,3/31/2018,12:14:56,3/30/2018 23:39,Olympic Lodge,4
15,,3/30/2018,23:27:17,Driving,1415,0h 12min 20sec,3/30/2018,23:39:37,3/30/2018 23:27,Driving,4
16,"2709 E Hwy 101, Port Angeles, WA 98362",3/30/2018,22:52:26,Grocery Store,0,0h 34min 50sec,3/30/2018,23:27:17,3/30/2018 22:52,Safeway,4
17,,3/30/2018,22:42:59,Driving,1394,0h 9min 27sec,3/30/2018,22:52:26,3/30/2018 22:42,Driving,4
18,Washington,3/30/2018,22:36:36,,0,0h 6min 23sec,3/30/2018,22:42:59,3/30/2018 22:36,Port Angeles,4
19,,3/30/2018,22:30:09,Driving,1736,0h 6min 26sec,3/30/2018,22:36:36,3/30/2018 22:30,Driving,4
20,"920 E 1st St, Port Angeles, WA 98362",3/30/2018,21:34:14,Chinese,0,0h 55min 54sec,3/30/2018,22:30:09,3/30/2018 21:34,Tendy's Garden,4
21,,3/30/2018,21:30:20,Driving,2443,0h 3min 54sec,3/30/2018,21:34:14,3/30/2018 21:30,Driving,4
22,"113 W 1st St, Port Angeles, WA 98362",3/30/2018,21:21:50,Gastropub,0,0h 8min 30sec,3/30/2018,21:30:20,3/30/2018 21:21,Next Door Gastropub,4
23,,3/30/2018,21:16:36,Driving,3487,0h 5min 14sec,3/30/2018,21:21:50,3/30/2018 21:16,Driving,4
24,"140 S Del Guzzi Dr, Port Angeles, WA 98362",3/30/2018,20:17:22,Hotel,0,0h 59min 14sec,3/30/2018,21:16:36,3/30/2018 20:17,Olympic Lodge,4
25,,3/30/2018,18:32:59,Driving,112278,1h 44min 23sec,3/30/2018,20:17:22,3/30/2018 18:32,Driving,4
26,Washington,3/30/2018,18:23:20,,0,0h 9min 38sec,3/30/2018,18:32:59,3/30/2018 18:23,Bainbridge Island,4
27,,3/30/2018,17:47:04,Boating,14043,0h 36min 16sec,3/30/2018,18:23:20,3/30/2018 17:47,Boating,4
28,"801 Alaskan Way, Seattle, WA 98104",3/30/2018,16:58:51,Ferry Terminal,0,0h 48min 13sec,3/30/2018,17:47:04,3/30/2018 16:58,Seattle,4
29,,3/30/2018,16:48:13,Driving,1180,0h 10min 38sec,3/30/2018,16:58:51,3/30/2018 16:48,Driving,4
30,"Seattle, WA",3/30/2018,16:31:56,,0,0h 16min 16sec,3/30/2018,16:48:13,3/30/2018 16:31,Pike Place Market,4
31,,3/30/2018,16:27:31,Walking,231,0h 4min 25sec,3/30/2018,16:31:56,3/30/2018 16:27,Walking,4
32,"85 Pike St, Seattle, WA 98101",3/30/2018,16:04:30,Market,0,0h 23min 1sec,3/30/2018,16:27:31,3/30/2018 16:04,Pike Place Market,4
33,,3/30/2018,14:58:47,Walking,639,1h 5min 42sec,3/30/2018,16:04:30,3/30/2018 14:58,Walking,4
34,"Seattle, WA",3/30/2018,14:03:13,,0,0h 55min 34sec,3/30/2018,14:58:47,3/30/2018 14:03,Pike Place Market,4
35,,3/30/2018,13:03:52,Driving,26667,0h 59min 21sec,3/30/2018,14:03:13,3/30/2018 13:03,Driving,4
36,"17801 International Blvd, Seattle, WA 98158",3/30/2018,12:03:23,Airport,0,1h 0min 28sec,3/30/2018,13:03:52,3/30/2018 12:03,Seattle-Tacoma International Airport,4
37,,3/30/2018,7:15:42,Flying,2848259,4h 47min 40sec,3/30/2018,12:03:23,3/30/2018 7:15,Flying,4
38,"3600 Presidential Blvd, Austin, TX 78719",3/30/2018,6:24:35,Airport,0,0h 51min 6sec,3/30/2018,7:15:42,3/30/2018 6:24,Austin-Bergstrom International Airport,4
39,,3/30/2018,6:01:30,Driving,15139,0h 23min 5sec,3/30/2018,6:24:35,3/30/2018 6:01,Driving,4
40,"The Bungalows, 2703 Swisher St, Austin, TX 78705",3/29/2018,23:00:00,Apartment Building,0,7h 1min 29sec,3/30/2018,6:01:30,3/29/2018 23:00,Home,3
41,,3/29/2018,22:54:19,On a bus,1163,0h 5min 41sec,3/29/2018,23:00:00,3/29/2018 22:54,On a bus,3
