,Address,BeginDate,BeginTime,Category,Distance,Duration,EndDate,EndTime,IndexTime,Name,WeekDay,Weather,Mood
0,Washington,4/1/2018,1:45:30,,0,11h 12min 11sec,4/1/2018,12:57:41,4/1/2018 1:45,Port Angeles,6, clear-night,4.0
1,"113 W 1st St, Port Angeles, WA 98362",4/1/2018,0:14:07,Gastropub,0,1h 20min 25sec,4/1/2018,1:34:33,4/1/2018 0:14,Next Door Gastropub,6, clear-night,5.0
2,"Mora Rd, Forks, WA 98331",3/31/2018,19:48:48,Public Beach,0,2h 52min 8sec,3/31/2018,22:40:56,3/31/2018 19:48,Rialto Beach,5, clear-day,5.0
3,"3002 Mt Angeles Rd, Port Angeles, WA 98362",3/31/2018,17:34:28,National Park,0,0h 27min 28sec,3/31/2018,18:01:56,3/31/2018 17:34,Olympic National Park,5, clear-day,5.0
4,Washington,3/31/2018,13:36:06,,0,0h 34min 32sec,3/31/2018,14:10:38,3/31/2018 13:36,"Port Angeles, WA",5, clear-day,5.0
5,"140 S Del Guzzi Dr, Port Angeles, WA 98362",3/31/2018,12:39:52,Hotel,0,0h 15min 49sec,3/31/2018,12:55:41,3/31/2018 12:39,Olympic Lodge,5, clear-day,5.0
6,Washington,3/31/2018,12:21:47,,0,0h 12min 57sec,3/31/2018,12:34:44,3/31/2018 12:21,Port Angeles,5, clear-day,5.0
7,"140 S Del Guzzi Dr, Port Angeles, WA 98362",3/30/2018,23:39:37,Hotel,0,12h 35min 18sec,3/31/2018,12:14:56,3/30/2018 23:39,Olympic Lodge,4, clear-night,4.0
8,"2709 E Hwy 101, Port Angeles, WA 98362",3/30/2018,22:52:26,Grocery Store,0,0h 34min 50sec,3/30/2018,23:27:17,3/30/2018 22:52,Safeway,4, clear-night,4.0
9,Washington,3/30/2018,22:36:36,,0,0h 6min 23sec,3/30/2018,22:42:59,3/30/2018 22:36,Port Angeles,4, clear-night,4.0
10,"920 E 1st St, Port Angeles, WA 98362",3/30/2018,21:34:14,Chinese,0,0h 55min 54sec,3/30/2018,22:30:09,3/30/2018 21:34,Tendy's Garden,4, clear-day,5.0
11,"113 W 1st St, Port Angeles, WA 98362",3/30/2018,21:21:50,Gastropub,0,0h 8min 30sec,3/30/2018,21:30:20,3/30/2018 21:21,Next Door Gastropub,4, clear-day,3.0
12,"140 S Del Guzzi Dr, Port Angeles, WA 98362",3/30/2018,20:17:22,Hotel,0,0h 59min 14sec,3/30/2018,21:16:36,3/30/2018 20:17,Olympic Lodge,4, clear-day,4.0
13,Washington,3/30/2018,18:23:20,,0,0h 9min 38sec,3/30/2018,18:32:59,3/30/2018 18:23,Bainbridge Island,4, clear-day,5.0
